id,us_votes,non_us_votes,us_rating,non_us_rating,title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt4686604,"
38
","
301
",7.1,6.4,Doroga na Berlin,2015,"Drama, War",82,Russia,"Russian, German",Sergei Popov,"Emmanuil Kazakevich, Evgeniy Nikishov",NA,"Amir Abdykalov, Yuriy Borisov, Maksim Demchenko, Andrey Deryugin, Mariya Karpova, Artem Lebedev, Aleksandr Novik",6.3,460,NA,NA,$ 490337,NA,11,1
tt4686692,"
129
","
989
",6.5,6.7,The Idol,2015,"Biography, Comedy, Drama",100,"Palestine, UK, Qatar, Netherlands, Egypt, United Arab Emirates","Arabic, Spanish",Hany Abu-Assad,"Hany Abu-Assad, Sameh Zoabi",Cactus World Films,"Tawfeek Barhom, Kais Attalah, Hiba Attalah, Ahmad Qasem, Abdel Kareem Barakeh, Teya Hussein, Dima Awawdeh, Ahmed Al Rokh, Saber Shreim, Amer Hlehel, Manal Awad, Walid Abed Elsalam, Eyad Hourani, Ashraf Barhom, Nadine Labaki",6.7,1619,NA,NA,$ 343059,NA,8,61
tt4687108,"
6,008
","
20,159
",5.5,5.4,Nell'erba alta,2019,"Drama, Horror, Mystery",101,"Canada, USA",English,Vincenzo Natali,"Vincenzo Natali, Stephen King",Netflix,"Laysla De Oliveira, Avery Whitted, Patrick Wilson, Will Buie Jr., Harrison Gilbertson, Tiffany Helm, Rachel Wilson",5.4,42968,NA,NA,NA,46,741,122
tt4687856,"
226
","
907
",4.8,4.8,Siberia,2020,"Drama, Fantasy, Horror",92,"Italy, Germany, Greece, Mexico",English,Abel Ferrara,"Abel Ferrara, Christ Zois",Vivo Film,"Willem Dafoe, Dounia Sichov, Simon McBurney, Cristina Chiriac, Daniel Giménez Cacho, Fabio Pagano, Anna Ferrara, Phil Neilson, Laurent Arnatsiaq, Valentina Rozumenko, Trish Osmond, Stella Pecollo",5.3,300,NA,NA,$ 23626,55,6,30
tt4689996,"
89
","
236
",4.8,4.3,La Entidad,2015,Horror,80,Peru,"Spanish, Quechua",Eduardo Schuldt,"Eduardo Schuldt, Sandro Ventura",Star Films,"Rodrigo Falla, Daniella Mendoza, Carlos Casella, Mario Gaviria, Analú Polanco",4.3,418,$ 3000000,NA,NA,NA,6,22
tt4690052,"
20
","
121
",5,5.2,Através da Sombra,2015,"Horror, Thriller",106,Brazil,Portuguese,Walter Lima Jr.,"Adriana Falcão, Henry James",Cinelândia Produções,"Virginia Cavendish, Domingos Montagner, Mel Maia, Xande Valois, Ana Lúcia Torre, Isabel Guéron, Alexandre Varella, Romeu Evaristo, Michel Gomes, Dandara Mariana",5.1,168,NA,NA,NA,NA,1,8
tt4690134,"
74
","
96
",3.8,3.4,A Christmas Eve Miracle,2015,"Comedy, Family",80,USA,English,R. Michael Givens,"Steven Paul, Jon Young",NA,"Olivia d'Abo, Anthony Starke, Josh Reid, Dina De Laurentiis, C. Thomas Howell, Jonathan Silverman, Lisa Sheridan, Maeve Quinlan, Sadie Stahura, Darien Willardson, William 'Bus' Riley, Walter Platz, Cathleen Mason, JJ Neward, Steven Paul",3.5,213,NA,NA,NA,NA,2,4
tt4691166,"
23
","
86
",5.4,6.8,7 Letters,2015,Drama,116,Singapore,"English, Malay, Hokkien, Mandarin, Malayalam","Junfeng Boo, Eric Khoo","Junfeng Boo, Ivan Ho",Chuan Pictures,"Faizal Abdullah, Aric Hidir Amin, Fatin Amira, Juliette Binoche, Nickson Cheng, David Chua, Nadiah m Din, J.A. Halim, Huifang Hong, Hamidah Jalil, Brien Lee, Rianne Lee, Poh Huat Lim, Lydia Look, Josmien Lum",6.6,131,SGD 3100000.00,NA,$ 232027,NA,3,6
tt4691348,"
8
","
90
",7.5,6.3,Eiga Kureyon Shinchan: Ora no hikkoshi monogatari - Saboten daishuugeki,2015,"Animation, Action, Adventure",103,Japan,Japanese,Masakazu Hashimoto,"Kimiko Ueno, Yoshito Usui",ADK,"Keiji Fujiwara, Satomi Kôrogi, Daisuke Namikawa, Miki Narahashi, Maaya Sakamoto, Rino Sashihara, Akiko Yajima",6.5,175,NA,NA,$ 33120366,NA,1,1
tt4691974,"
18
","
85
",5.7,6.2,El Movimiento,2015,Drama,70,"Argentina, South Korea",Spanish,Benjamín Naishtat,Benjamín Naishtat,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),"Pablo Cedrón, Céline Latil, Francisco Lumerman, Marcelo Pompei, Alberto Suarez",6.2,139,NA,NA,$ 4342,NA,1,7
