id,us_votes,non_us_votes,us_rating,non_us_rating
tt10574498,"
17
","
80
",6.1,5.4
tt10579092,"
5
","
78
",3.5,5.3
tt10579992,"
467
","
310
",6.5,6.1
tt10581102,"
204
","
137
",4.2,3.9
tt10582422,"
125
","
53
",6.9,5.9
tt10583170,"
16
","
386
",7.1,7.2
tt10584272,"
10
","
68
",5.7,6.3
tt10585038,"
14
","
80
",4.2,3.2
tt10589914,"
216
","
1,076
",6.4,6.3
tt10590458,"
135
","
209
",3.7,3.3
tt10590530,"
18
","
537
",6.6,6.3
tt10592082,"
92
","
343
",7.5,7.2
tt10592506,"
31
","
112
",6.8,7.2
tt10594792,"
57
","
392
",5.2,5.7
tt10594884,"
11
","
89
",6.3,6.1
tt10598260,"
30
","
285
",6.0,6.1
tt10602172,"
26
","
117
",7.3,7.1
tt10602694,"
3
","
98
",6.3,5.6
tt10603466,"
39
","
283
",4.8,6.8
tt10604464,"
6
","
52
",2.0,2.2
tt10608668,"
90
","
467
",7.3,7.3
tt10608842,"
106
","
26
",4.4,1.5
tt10611372,"
31
","
877
",6.8,6.9
tt10612148,"
184
","
30
",8.1,5.9
tt10613572,"
19
","
44
",3.4,3.4
tt10613992,"
17
","
468
",6.6,7.3
tt10620868,"
3,002
","
12,851
",6.4,6.2
tt10621032,"
289
","
1,049
",7.0,6.8
tt10622220,"
20
","
127
",5.7,5.1
tt10622410,"
38
","
242
",6.7,6.7
tt10622790,"
163
","
529
",6.7,5.9
tt10623524,"
71
","
713
",6.6,7.5
tt10627352,"
118
","
836
",4.9,5.9
tt10627720,"
858
","
2,535
",7.2,7.4
tt10627858,"
1
","
82
",7.0,5.1
tt10628006,"
82
","
102
",5.1,5.0
tt10628692,"
12
","
93
",6.1,6.8
tt10633454,"
132
","
361
",4.7,4.8
tt10633456,"
7,930
","
24,413
",7.7,7.3
tt10636632,"
13
","
79
",7.5,6.8
tt10637682,"
28
","
85
",5.2,5.4
tt10638274,"
13
","
58
",6.0,5.3
tt10638296,"
25
","
82
",5.8,6.0
tt10641972,"
63
","
244
",7.5,7.4
tt10643918,"
11
","
127
",4.5,6.2
tt10643938,"
14
","
176
",6.0,7.0
tt10644282,"
231
","
427
",6.7,4.8
tt10645298,"
3
","
39
",5.5,5.9
tt10645356,"
8
","
51
",5.5,4.6
tt10645682,"
228
","
433
",4.4,4.0
tt10648192,"
11
","
322
",5.0,6.3
tt10648440,"
347
","
2,036
",7.1,6.9
tt10650424,"
25
","
137
",6.4,6.5
tt10651188,"
31
","
135
",5.4,5.2
tt10652780,"
7
","
103
",4.9,6.2
tt10653398,"
1
","
97
",6.0,6.0
tt10656188,"
225
","
703
",6.7,6.4
tt10656222,"
4
","
44
",1.0,4.6
tt10656240,"
16
","
151
",6.6,7.3
tt10658928,"
4
","
74
",3.7,4.1
tt10658960,"
5
","
41
",1.8,2.0
tt10659288,"
4
","
23
",2.3,1.0
tt10666454,"
12
","
279
",6.5,6.8
tt10666536,"
18
","
61
",6.2,5.8
tt10669822,"
5
","
69
",6.5,6.4
tt10671436,"
75
","
366
",7.3,7.0
tt10674930,"
81
","
179
",2.8,2.6
tt10675136,"
1,145
","
665
",5.7,4.8
tt10675966,"
1,167
","
2,186
",7.1,6.3
tt10676902,"
74
","
678
",7.3,5.4
tt10680412,"
74
","
69
",4.1,3.3
tt10682062,"
26
","
108
",6.5,7.0
tt10682506,"
13
","
57
",5.1,4.6
tt10687168,"
62
","
191
",5.7,5.8
tt10692228,"
40
","
208
",5.9,5.9
tt10692888,"
150
","
673
",6.6,6.5
tt10692994,"
33
","
109
",3.8,3.6
tt10695464,"
429
","
117
",7.4,3.7
tt10695638,"
43
","
93
",4.9,5.3
tt10696018,"
62
","
50
",5.4,3.7
tt10696882,"
54
","
354
",5.2,4.9
tt10698468,"
9
","
38
",5.1,4.8
tt10699348,"
11
","
620
",5.7,5.8
