id,us_votes,non_us_votes,us_rating,non_us_rating
tt0112679/,"
3,109
","
2,582
",6.8,6.4
tt0112682/,"
14,179
","
33,385
",7.7,7.5
tt0112688/,"
6,126
","
9,271
",6.9,6.9
tt0112690/,"
24
","
168
",6.3,6.3
tt0112697/,"
46,591
","
68,570
",7.1,6.6
tt0112699/,"
21
","
70
",6.7,5.5
tt0112700/,"
85
","
153
",4.3,4.2
tt0112702/,"
958
","
1,719
",6.8,6.7
tt0112704/,"
13
","
58
",8.8,6.7
tt0112710/,"
91
","
806
",7.0,7.4
tt0112712/,"
71
","
179
",4.9,4.8
tt0112714/,"
136
","
1,003
",6.9,7.6
tt0112715/,"
13,518
","
17,066
",5.3,5.1
tt0112716/,"
194
","
502
",5.6,6.1
tt0112722/,"
11,315
","
27,924
",6.7,6.5
tt0112724/,"
9
","
120
",6.3,5.8
tt0112729/,"
75
","
96
",3.8,3.4
tt0112732/,"
102
","
212
",5.7,5.3
tt0112735/,"
138
","
48
",4.8,4.4
tt0112740/,"
24,656
","
46,951
",7.4,7.2
tt0112744/,"
3,245
","
6,308
",6.2,6.3
tt0112749/,"
787
","
517
",7.0,6.7
tt0112750/,"
948
","
7,829
",6.1,6.5
tt0112757/,"
2,590
","
3,862
",7.5,7.6
tt0112759/,"
60
","
122
",5.9,6.2
tt0112760/,"
5,079
","
14,185
",5.5,5.7
tt0112761/,"
68
","
50
",3.0,3.7
tt0112763/,"
128
","
285
",4.6,3.9
tt0112764/,"
54
","
60
",3.8,3.1
tt0112766/,"
77
","
199
",3.5,3.3
tt0112767/,"
785
","
2,739
",7.2,7.2
tt0112769/,"
1,491
","
6,378
",7.6,7.5
tt0112772/,"
45
","
218
",6.4,5.9
tt0112775/,"
16
","
120
",6.1,6.0
tt0112777/,"
114
","
15
",6.9,6.6
tt0112778/,"
786
","
3,488
",7.5,7.7
tt0112779/,"
18
","
124
",5.8,6.5
tt0112791/,"
147
","
158
",6.3,5.7
tt0112792/,"
8,856
","
25,800
",6.3,6.5
tt0112793/,"
71
","
112
",4.1,4.3
tt0112800/,"
413
","
1,898
",7.2,7.0
tt0112804/,"
101
","
79
",3.5,3.4
tt0112814/,"
32
","
58
",5.3,4.9
tt0112817/,"
16,375
","
48,603
",7.5,7.6
tt0112818/,"
18,949
","
43,977
",7.5,7.5
