id,us_votes,non_us_votes,us_rating,non_us_rating
tt1950135/,"
142
","
413
",4.6,4.4
tt1951266/,"
33,154
","
118,423
",6.7,6.4
tt1954854/,"
42
","
29
",4.5,4.4
tt1957938/,"
313
","
929
",4.5,4.4
tt1964418/,"
21,846
","
79,712
",6.5,6.4
tt1967669/,"
57
","
76
",4.3,3.8
tt1971310/,"
52
","
204
",4.0,3.6
tt1974382/,"
233
","
510
",5.7,5.4
tt1976009/,"
6,121
","
24,735
",6.0,5.9
tt1977094/,"
320
","
748
",4.7,4.5
tt1977919/,"
198
","
199
",3.6,3.1
tt1979388/,"
14,099
","
44,420
",6.6,6.7
tt1986202/,"
949
","
603
",4.3,3.6
tt1988768/,"
102
","
51
",7.9,5.3
tt1993396/,"
273
","
485
",3.2,2.6
tt1999890/,"
3,741
","
5,233
",5.7,5.3
tt2002868/,"
122
","
1,025
",6.4,6.5
tt2006295/,"
4,316
","
16,798
",6.8,6.8
tt2011311/,"
2,475
","
10,357
",6.2,6.2
tt2011313/,"
21
","
163
",5.8,7.2
tt2014319/,"
256
","
275
",4.3,3.5
tt2016335/,"
537
","
831
",5.6,5.2
tt2018069/,"
1,240
","
3,315
",5.5,5.2
tt2034176/,"
307
","
943
",4.0,3.7
tt2043887/,"
784
","
558
",5.6,4.3
tt2048865/,"
145
","
398
",4.0,3.8
tt2049543/,"
1,561
","
5,356
",5.5,5.5
tt2050452/,"
7
","
234
",3.8,6.2
tt2056771/,"
2,828
","
15,207
",6.4,6.4
tt2057392/,"
8,913
","
40,411
",7.3,7.2
tt2058673/,"
6,919
","
26,023
",4.9,5.3
tt2063626/,"
37
","
7
",5.5,7.0
tt2066070/,"
50
","
105
",3.7,3.5
tt2069797/,"
1,705
","
2,464
",5.9,5.6
tt2072230/,"
1,210
","
5,730
",5.2,5.0
tt2073091/,"
28
","
95
",4.3,3.7
tt2076926/,"
93
","
65
",4.4,3.3
tt2078693/,"
6
","
160
",5.2,5.7
tt2080374/,"
20,187
","
73,863
",7.4,7.1
tt2080418/,"
57
","
251
",3.9,4.2
tt2081251/,"
5
","
119
",2.0,5.7
tt2084957/,"
244
","
111
",7.4,4.3
tt2088832/,"
246
","
191
",5.0,4.6
tt2090629/,"
530
","
565
",3.6,3.4
tt2091478/,"
1,426
","
6,154
",5.1,5.1
tt2091935/,"
8,383
","
22,255
",6.6,6.2
tt2096673/,"
68,318
","
238,069
",8.2,8.1
tt2097298/,"
6,497
","
15,337
",7.5,7.3
tt2097331/,"
1,762
","
4,127
",6.2,6.0
tt2097333/,"
58
","
184
",2.9,4.0
tt2098669/,"
95
","
70
",4.2,3.4
tt2101383/,"
3,649
","
12,788
",5.7,5.6
tt2109127/,"
148
","
209
",2.9,2.7
tt2109141/,"
70
","
34
",4.9,4.5
tt2118624/,"
7,721
","
18,733
",6.9,6.4
tt2119543/,"
7,145
","
19,307
",6.3,5.9
tt2120120/,"
15,876
","
57,188
",5.6,5.5
tt2120857/,"
61
","
59
",3.0,3.2
tt2122313/,"
81
","
1,584
",5.2,5.8
tt2123170/,"
124
","
228
",2.3,2.1
tt2124180/,"
56
","
165
",6.1,5.4
tt2124787/,"
2,752
","
6,569
",4.9,4.5
tt2126355/,"
26,746
","
91,404
",6.2,5.9
tt2126357/,"
3,218
","
9,926
",5.9,5.7
tt2131532/,"
2,592
","
10,527
",6.5,6.3
tt2133196/,"
1,138
","
4,195
",6.8,6.8
tt2139869/,"
26
","
15
",4.0,4.3
tt2140037/,"
3,535
","
10,604
",6.0,5.8
tt2140379/,"
10,329
","
46,283
",6.4,6.4
tt2140423/,"
95
","
110
",3.0,2.5
tt2140465/,"
1,194
","
9,254
",7.2,7.5
tt2140629/,"
1,677
","
2,883
",5.9,5.6
tt2141773/,"
1,338
","
1,693
",5.2,5.3
tt2150177/,"
49
","
189
",4.0,3.6
tt2151270/,"
59
","
103
",3.9,2.5
tt2159988/,"
8
","
71
",5.0,6.8
tt2160105/,"
1,308
","
4,013
",5.9,5.7
tt2168180/,"
88
","
1,161
",7.6,7.6
tt2170369/,"
344
","
291
",5.0,4.3
tt2172095/,"
12
","
247
",4.3,4.4
tt2179231/,"
728
","
2,509
",6.7,6.5
tt2179734/,"
47
","
17
",7.7,4.2
tt2181282/,"
240
","
672
",6.5,6.5
tt2181298/,"
109
","
407
",2.8,2.7
tt2181814/,"
6
","
132
",7.0,6.3
tt2184335/,"
69
","
192
",6.3,6.6
tt2186848/,"
1,346
","
2,842
",6.5,5.7
tt2187071/,"
32
","
59
",6.3,4.9
tt2188860/,"
72
","
295
",4.3,6.4
tt2190467/,"
506
","
696
",5.8,5.9
tt2190820/,"
14
","
67
",3.4,4.7
tt2191765/,"
273
","
4,933
",6.4,6.2
tt2195552/,"
149
","
415
",4.5,4.7
tt2199571/,"
11,191
","
51,611
",6.6,6.5
tt2201211/,"
154
","
548
",6.7,6.8
tt2201532/,"
961
","
515
",6.3,4.3
tt2202086/,"
86
","
596
",5.7,5.7
tt2205762/,"
77
","
80
",4.0,4.1
tt2207484/,"
458
","
1,225
",2.9,2.6
tt2210451/,"
62
","
112
",3.6,3.0
tt2210769/,"
311
","
4,809
",7.4,7.5
tt2210787/,"
13
","
289
",4.9,4.9
tt2215673/,"
927
","
1,127
",5.5,4.7
tt2217859/,"
1,175
","
7,040
",6.5,6.6
tt2224026/,"
11,035
","
38,277
",6.4,6.5
tt2224219/,"
80
","
30
",5.3,5.5
tt2226321/,"
639
","
405
",3.5,3.3
tt2226440/,"
98
","
118
",5.0,4.1
tt2226630/,"
274
","
249
",6.6,6.1
tt2229201/,"
11
","
123
",9.7,4.0
tt2229952/,"
66
","
48
",3.5,3.0
tt2231253/,"
4,822
","
26,799
",5.7,5.6
tt2231461/,"
19,065
","
60,127
",6.1,6.0
tt2233979/,"
218
","
305
",5.0,4.9
tt2236160/,"
593
","
785
",4.5,4.4
tt2236358/,"
90
","
53
",3.0,3.2
tt2237324/,"
1,641
","
3,238
",5.4,5.1
tt2241750/,"
252
","
627
",5.2,5.5
tt2243260/,"
136
","
475
",4.8,4.6
tt2243900/,"
157
","
302
",5.1,4.1
tt2245003/,"
1,944
","
8,066
",6.7,6.7
tt2248739/,"
303
","
1,026
",7.0,6.6
tt2249498/,"
26
","
248
",3.0,3.1
tt2251828/,"
46
","
616
",6.0,6.4
tt2254131/,"
157
","
195
",4.9,4.8
tt2257216/,"
77
","
122
",3.0,2.9
tt2262161/,"
658
","
1,810
",6.5,6.5
tt2262345/,"
337
","
1,637
",7.1,7.3
tt2262788/,"
60
","
29
",5.2,5.9
tt2268016/,"
7,374
","
22,731
",5.8,5.5
tt2271563/,"
1,842
","
5,323
",6.6,6.2
tt2273657/,"
7,256
","
31,802
",6.3,6.2
tt2278803/,"
108
","
767
",6.7,7.7
tt2278911/,"
50
","
61
",3.9,3.8
tt2279339/,"
3,234
","
9,931
",5.7,5.7
tt2279373/,"
6,703
","
19,157
",6.1,5.9
tt2281442/,"
10
","
139
",2.2,2.1
tt2282737/,"
57
","
58
",4.8,4.9
tt2287677/,"
14
","
121
",4.9,5.3
tt2290397/,"
103
","
1,010
",3.5,6.7
tt2291284/,"
108
","
984
",3.7,4.0
tt2293060/,"
560
","
645
",5.8,5.2
